Episode_Name,Action_Number,Reviewer_1_Assessment,Reviewer_2_Assessment,Final_Decision
task-bring_me-24-448-4,19,Pass,Pass,Pass
task-bring_me-24-448-4,20,Pass,Pass,Pass
task-bring_me-24-448-4,21,Pass,Pass,Pass
task-bring_me-24-448-4,22,Pass,Pass,Pass
task-bring_me-24-2223-3,1,Pass,Pass,Pass
task-bring_me-24-2223-3,2,Pass,Pass,Pass
task-bring_me-24-2223-3,3,Pass,Pass,Pass
task-bring_me-24-2223-3,4,Pass,Pass,Pass
task-bring_me-24-2223-3,5,Pass,Pass,Pass
task-bring_me-24-2223-3,6,Pass,Pass,Pass
task-bring_me-24-2223-3,7,Pass,Pass,Pass
task-bring_me-24-2223-3,8,Pass,Pass,Pass
task-bring_me-24-2223-3,9,Pass,Pass,Pass
task-bring_me-24-2223-3,10,Pass,Pass,Pass
task-bring_me-24-2223-3,11,Pass,Pass,Pass
task-bring_me-24-2223-3,12,Pass,Pass,Pass
task-bring_me-24-2223-3,13,Pass,Pass,Pass
task-bring_me-24-2223-3,14,Pass,Pass,Pass
task-bring_me-24-2223-3,15,Pass,Pass,Pass
task-bring_me-24-2223-3,16,Pass,Pass,Pass
task-bring_me-24-2223-3,17,Pass,Pass,Pass
task-bring_me-25-2171-2,1,Pass,Pass,Pass
task-bring_me-25-2171-2,2,Pass,Pass,Pass
task-bring_me-25-2171-2,3,Pass,Pass,Pass
task-bring_me-25-2171-2,4,Pass,Pass,Pass
task-bring_me-25-2171-2,5,Pass,Pass,Pass
task-bring_me-25-2171-2,6,Pass,Pass,Pass
task-bring_me-25-2171-2,7,Pass,Pass,Pass
task-bring_me-25-2171-2,8,Pass,Pass,Pass
task-bring_me-25-2171-2,9,Fail,Fail,Fail
task-bring_me-25-3462-1,1,Pass,Fail,Pass
task-bring_me-25-3462-1,2,Pass,Pass,Pass
task-bring_me-25-3462-1,3,Pass,Pass,Pass
task-bring_me-25-3462-1,4,Pass,Pass,Pass
task-bring_me-25-3462-1,5,Pass,Pass,Pass
task-bring_me-25-3462-1,6,Pass,Pass,Pass
task-bring_me-25-3462-1,7,Fail,Fail,Fail
task-bring_me-25-3462-1,8,Pass,Pass,Pass
task-bring_me-25-3462-1,9,Pass,Pass,Pass
task-bring_me-25-3462-1,10,Pass,Pass,Pass
task-bring_me-25-3462-1,11,Pass,Pass,Pass
task-bring_me-25-3462-1,12,Fail,Fail,Fail
task-bring_me-25-3462-1,13,Pass,Pass,Pass
task-bring_me-25-3462-1,14,Pass,Fail,Pass
task-bring_me-25-3462-1,15,Pass,Pass,Pass
task-bring_me-25-3462-1,16,Pass,Pass,Pass
task-bring_me-25-3462-1,17,Pass,Pass,Pass
task-bring_me-26-212-4,1,Pass,Pass,Pass
task-bring_me-26-212-4,2,Pass,Pass,Pass
task-bring_me-26-212-4,3,Pass,Pass,Pass
task-bring_me-26-212-4,4,Pass,Pass,Pass
task-bring_me-26-212-4,5,Fail,Fail,Fail
task-bring_me-26-212-4,6,Pass,Pass,Pass
task-bring_me-26-212-4,7,Fail,Fail,Fail
task-bring_me-26-2052-1,1,Pass,Pass,Pass
task-bring_me-26-2052-1,2,Pass,Pass,Pass
task-bring_me-26-2052-1,3,Pass,Pass,Pass
task-bring_me-26-2052-1,4,Pass,Pass,Pass
task-bring_me-26-2052-1,5,Pass,Pass,Pass
task-bring_me-26-2052-1,6,Pass,Pass,Pass
task-bring_me-26-2052-1,7,Fail,Pass,Pass
task-bring_me-26-2052-1,8,Pass,Pass,Pass
task-bring_me-33-2217-2,1,Pass,Pass,Pass
task-bring_me-33-2217-2,2,Pass,Pass,Pass
task-bring_me-33-2217-2,3,Pass,Pass,Pass
task-bring_me-33-2217-2,4,Pass,Pass,Pass
task-bring_me-35-78-3,1,Pass,Pass,Pass
task-bring_me-35-78-3,2,Pass,Pass,Pass
task-bring_me-35-78-3,3,Pass,Pass,Pass
task-bring_me-35-78-3,4,Pass,Pass,Pass
task-bring_me-35-78-3,5,Pass,Pass,Pass
task-bring_me-35-78-3,6,Pass,Pass,Pass
task-bring_me-35-78-3,7,Pass,Pass,Pass
task-bring_me-35-78-3,8,Pass,Pass,Pass
task-bring_me-35-78-3,9,Pass,Pass,Pass
task-bring_me-35-78-3,10,Pass,Pass,Pass
task-bring_me-35-78-3,11,Pass,Pass,Pass
task-bring_me-35-78-3,12,Pass,Pass,Pass
task-bring_me-35-78-3,13,Pass,Pass,Pass
task-bring_me-35-78-3,14,Fail,Pass,Fail
task-bring_me-35-78-3,15,Pass,Pass,Pass
task-bring_me-35-78-3,16,Pass,Pass,Pass
task-bring_me-35-78-3,17,Pass,Pass,Pass
task-bring_me-35-78-3,18,Pass,Pass,Pass
task-bring_me-35-78-3,19,Pass,Pass,Pass
task-bring_me-35-78-3,20,Pass,Pass,Pass
task-bring_me-35-78-3,21,Pass,Pass,Pass
task-bring_me-35-78-3,22,Pass,Pass,Pass
task-bring_me-35-78-3,23,Pass,Pass,Pass
task-bring_me-35-78-3,24,Fail,Fail,Fail
task-bring_me-35-2217-4,1,Pass,Pass,Pass
task-bring_me-35-2217-4,2,Pass,Pass,Pass
task-bring_me-35-2217-4,3,Pass,Pass,Pass
task-bring_me-35-2217-4,4,Pass,Pass,Pass
task-bring_me-35-2217-4,5,Pass,Pass,Pass
task-bring_me-35-2217-4,6,Pass,Pass,Pass
task-bring_me-35-2217-4,7,Pass,Pass,Pass
task-bring_me-35-2217-4,8,Pass,Pass,Pass
task-bring_me-35-2217-4,9,Pass,Pass,Pass
task-bring_me-35-2217-4,10,Pass,Pass,Pass
task-bring_me-35-2217-4,11,Pass,Pass,Pass
task-bring_me-35-2217-4,12,Pass,Pass,Pass
task-bring_me-35-2217-4,13,Pass,Pass,Pass
task-bring_me-35-2217-4,14,Pass,Pass,Pass
task-bring_me-35-2217-4,15,Pass,Pass,Pass
task-bring_me-35-2217-4,16,Pass,Pass,Pass
task-bring_me-35-2217-4,17,Pass,Pass,Pass
task-bring_me-35-2217-4,18,Pass,Pass,Pass
task-bring_me-35-2217-4,19,Pass,Pass,Pass
task-bring_me-35-2217-4,20,Pass,Pass,Pass
task-bring_me-35-2217-4,21,Pass,Pass,Pass
task-bring_me-35-2217-4,22,Pass,Pass,Pass
task-bring_me-35-2217-4,23,Pass,Pass,Pass
task-bring_me-35-2217-4,24,Pass,Pass,Pass
task-bring_me-35-2217-4,25,Pass,Pass,Pass
task-bring_me-35-2217-4,26,Pass,Pass,Pass
task-bring_me-35-2217-4,27,Pass,Pass,Pass
task-bring_me-35-2217-4,28,Pass,Pass,Pass
task-bring_me-35-2217-4,29,Pass,Pass,Pass
task-bring_me-35-2217-4,30,Pass,Pass,Pass
task-bring_me-35-2217-4,31,Pass,Pass,Pass
task-bring_me-35-2217-4,32,Pass,Pass,Pass
task-bring_me-35-2217-4,33,Pass,Pass,Pass
task-bring_me-35-2217-4,34,Pass,Pass,Pass
task-bring_me-35-2217-4,35,Pass,Pass,Pass
task-bring_me-35-2217-4,36,Pass,Pass,Pass
task-bring_me-35-2217-4,37,Pass,Pass,Pass
task-bring_me-35-2217-4,38,Pass,Pass,Pass
task-bring_me-35-2217-4,39,Fail,Fail,Fail
task-bring_me-36-2693-3,1,Pass,Pass,Pass
task-bring_me-36-2693-3,2,Pass,Pass,Pass
task-bring_me-36-2693-3,3,Pass,Pass,Pass
task-bring_me-36-2693-3,4,Pass,Pass,Pass
task-bring_me-36-2693-3,5,Pass,Pass,Pass
task-bring_me-36-2693-3,6,Pass,Pass,Pass
task-bring_me-36-2693-3,7,Pass,Pass,Pass
task-bring_me-36-2693-3,8,Pass,Pass,Pass
task-bring_me-36-2693-3,9,Pass,Pass,Pass
task-bring_me-36-2693-3,10,Pass,Pass,Pass
task-bring_me-36-2693-3,11,Pass,Pass,Pass
task-bring_me-36-2693-3,12,Pass,Pass,Pass
task-bring_me-36-2693-3,13,Pass,Pass,Pass
task-bring_me-36-2693-3,14,Pass,Pass,Pass
task-bring_me-36-2693-3,15,Pass,Pass,Pass
task-bring_me-46-2816-1,1,Pass,Pass,Pass
task-bring_me-46-2816-1,2,Pass,Pass,Pass
task-bring_me-46-2816-1,3,Fail,Fail,Fail
task-bring_me-46-2816-1,4,Pass,Pass,Pass
task-bring_me-46-2816-1,5,Pass,Pass,Pass
task-bring_me-46-2816-1,6,Pass,Pass,Pass
task-bring_me-46-2816-1,7,Pass,Pass,Pass
task-bring_me-46-2816-1,8,Pass,Pass,Pass
task-bring_me-52-3788-2,1,Pass,Pass,Pass
task-bring_me-52-3788-2,2,Pass,Pass,Pass
task-bring_me-52-3788-2,3,Pass,Pass,Pass
task-bring_me-52-3788-2,4,Pass,Pass,Pass
task-bring_me-52-3788-2,5,Pass,Pass,Pass
task-bring_me-52-3788-2,6,Pass,Pass,Pass
task-bring_me-52-3788-2,7,Pass,Pass,Pass
task-bring_me-52-3788-2,8,Pass,Pass,Pass
task-bring_me-52-3788-2,9,Pass,Pass,Pass
task-bring_me-52-3788-2,10,Pass,Fail,Fail
task-bring_me-52-3788-2,11,Pass,Pass,Pass
task-bring_me-52-3788-2,12,Pass,Pass,Pass
task-bring_me-52-3788-2,13,Pass,Pass,Pass
task-bring_me-52-3788-2,14,Pass,Fail,Fail
task-bring_me-52-3788-2,15,Pass,Pass,Pass
task-bring_me-53-2398-3,1,Pass,Pass,Pass
task-bring_me-53-2398-3,2,Fail,Fail,Fail
task-bring_me-53-2398-3,3,Pass,Pass,Pass
task-bring_me-53-2398-3,4,Pass,Pass,Pass
task-bring_me-53-2398-3,5,Pass,Pass,Pass
task-bring_me-53-2398-3,6,Pass,Pass,Pass
task-bring_me-53-2398-3,7,Pass,Pass,Pass
task-bring_me-53-2398-3,8,Pass,Pass,Pass
task-bring_me-53-2398-3,9,Pass,Pass,Pass
task-bring_me-53-2398-3,10,Pass,Pass,Pass
task-bring_me-53-2398-3,11,Pass,Pass,Pass
task-bring_me-53-2398-3,12,Pass,Pass,Pass
task-bring_me-53-2398-3,13,Pass,Pass,Pass
task-bring_me-53-2398-3,14,Pass,Pass,Pass
task-bring_me-53-2398-3,15,Pass,Pass,Pass
task-bring_me-53-2398-3,16,Pass,Pass,Pass
task-bring_me-53-2398-3,17,Pass,Pass,Pass
task-bring_me-53-2398-3,18,Pass,Pass,Pass
task-bring_me-53-2398-3,19,Pass,Pass,Pass
task-bring_me-53-2398-3,20,Pass,Pass,Pass
task-bring_me-53-2398-3,21,Pass,Pass,Pass
task-bring_me-53-2398-3,22,Pass,Pass,Pass
task-bring_me-53-2398-3,23,Pass,Pass,Pass
task-bring_me-53-2398-3,24,Pass,Pass,Pass
task-bring_me-54-4155-4,1,Pass,Pass,Pass
task-bring_me-54-4155-4,2,Pass,Pass,Pass
task-bring_me-54-4155-4,3,Pass,Pass,Pass
task-bring_me-54-4155-4,4,Pass,Pass,Pass
task-bring_me-54-4155-4,5,Pass,Pass,Pass
task-bring_me-54-4155-4,6,Pass,Pass,Pass
task-bring_me-54-4155-4,7,Pass,Pass,Pass
task-bring_me-54-4155-4,8,Pass,Pass,Pass
task-bring_me-55-3222-1,1,Pass,Pass,Pass
task-bring_me-55-3222-1,2,Pass,Pass,Pass
task-bring_me-55-3222-1,3,Pass,Pass,Pass
task-bring_me-55-3222-1,4,Pass,Pass,Pass
task-bring_me-55-3222-1,5,Fail,Fail,Fail
task-bring_me-56-3285-2,1,Pass,Pass,Pass
task-bring_me-56-3285-2,2,Pass,Pass,Pass
task-bring_me-56-3285-2,3,Pass,Pass,Pass
task-bring_me-56-3285-2,4,Pass,Pass,Pass
task-bring_me-56-3285-2,5,Pass,Pass,Pass
task-bring_me-56-3285-2,6,Pass,Pass,Pass
task-bring_me-56-3285-2,7,Pass,Pass,Pass
task-bring_me-56-3285-2,8,Pass,Pass,Pass
task-bring_me-56-3285-2,9,Pass,Fail,Fail
task-bring_me-56-3285-2,10,Pass,Pass,Pass
task-bring_me-57-2374-3,1,Pass,Pass,Pass
task-bring_me-57-2374-3,2,Pass,Pass,Pass
task-bring_me-57-2374-3,3,Fail,Fail,Fail
task-bring_me-57-2374-3,4,Pass,Pass,Pass
task-bring_me-57-2374-3,5,Pass,Pass,Pass
task-bring_me-57-2374-3,6,Pass,Pass,Pass
task-bring_me-57-2374-3,7,Pass,Pass,Pass
task-bring_me-57-2374-3,8,Pass,Fail,Fail
task-bring_me-57-2374-3,9,Pass,Pass,Pass
task-bring_me-57-2374-3,10,Pass,Pass,Pass
task-bring_me-57-2374-3,11,Pass,Pass,Pass
task-bring_me-57-2374-3,12,Pass,Pass,Pass
task-bring_me-57-2374-3,13,Pass,Pass,Pass
task-bring_me-58-1053-4,1,Pass,Pass,Pass
task-bring_me-58-1053-4,2,Pass,Pass,Pass
task-bring_me-58-1053-4,3,Pass,Pass,Pass
task-bring_me-58-1053-4,4,Pass,Pass,Pass
task-bring_me-58-1053-4,5,Pass,Pass,Pass
task-bring_me-58-1053-4,6,Pass,Pass,Pass
task-bring_me-60-2817-1,1,Pass,Pass,Pass
task-bring_me-60-2817-1,2,Pass,Pass,Pass
task-bring_me-60-2817-1,3,Pass,Pass,Pass
task-bring_me-60-2817-1,4,Pass,Pass,Pass
task-bring_me-60-2817-1,5,Pass,Pass,Pass
task-bring_me-60-2817-1,6,Pass,Pass,Pass
task-bring_me-60-2817-1,7,Pass,Pass,Pass
task-bring_me-60-2817-1,8,Pass,Pass,Pass
task-bring_me-60-2817-1,9,Pass,Pass,Pass
task-bring_me-60-2817-1,10,Pass,Pass,Pass
task-bring_me-60-2817-1,11,Pass,Pass,Pass
task-bring_me-60-2817-1,12,Pass,Pass,Pass
task-bring_me-60-2817-1,13,Pass,Pass,Pass
task-bring_me-60-2817-1,14,Pass,Pass,Pass
task-bring_me-60-2817-1,15,Pass,Pass,Pass
task-bring_me-60-2817-1,16,Pass,Pass,Pass
task-bring_me-60-2817-1,17,Pass,Pass,Pass
task-bring_me-60-2817-1,18,Pass,Pass,Pass
task-bring_me-60-2817-1,19,Pass,Pass,Pass
task-bring_me-60-2817-1,20,Pass,Pass,Pass
task-bring_me-60-2817-1,21,Pass,Pass,Pass
task-bring_me-60-2817-1,22,Pass,Pass,Pass
task-bring_me-60-2817-1,23,Pass,Pass,Pass
task-bring_me-60-2817-1,24,Pass,Pass,Pass
task-bring_me-60-2817-1,25,Pass,Pass,Pass
task-bring_me-60-2817-1,26,Fail,Pass,Pass
task-bring_me-62-874-2,1,Pass,Pass,Pass
task-bring_me-62-874-2,2,Pass,Pass,Pass
task-bring_me-62-874-2,3,Pass,Pass,Pass
task-bring_me-62-874-2,4,Pass,Pass,Pass
task-bring_me-62-874-2,5,Pass,Pass,Pass
task-bring_me-62-874-2,6,Fail,Fail,Fail
task-bring_me-62-874-2,7,Pass,Pass,Pass
task-bring_me-62-874-2,8,Pass,Pass,Pass
task-bring_me-62-874-2,9,Pass,Pass,Pass
task-bring_me-62-874-2,10,Pass,Pass,Pass
task-bring_me-63-1775-3,1,Pass,Pass,Pass
task-bring_me-63-1775-3,2,Pass,Pass,Pass
task-bring_me-63-1775-3,3,Pass,Pass,Pass
task-bring_me-63-1775-3,4,Pass,Pass,Pass
task-bring_me-63-1775-3,5,Pass,Pass,Pass
task-bring_me-63-1775-3,6,Pass,Pass,Pass
task-bring_me-63-1775-3,7,Pass,Pass,Pass
task-bring_me-63-1775-3,8,Pass,Pass,Pass
task-bring_me-63-1775-3,9,Pass,Pass,Pass
task-bring_me-63-1775-3,10,Fail,Pass,Fail
task-bring_me-63-1775-3,11,Pass,Pass,Pass
task-bring_me-63-1775-3,12,Pass,Pass,Pass
task-bring_me-63-1775-3,13,Pass,Pass,Pass
task-bring_me-63-1775-3,14,Pass,Pass,Pass
task-bring_me-63-1775-3,15,Pass,Pass,Pass
task-bring_me-64-1024-4,1,Pass,Pass,Pass
task-bring_me-64-1024-4,2,Pass,Pass,Pass
task-bring_me-64-1024-4,3,Pass,Pass,Pass
task-bring_me-64-1024-4,4,Pass,Pass,Pass
task-bring_me-64-1024-4,5,Pass,Pass,Pass
task-bring_me-64-1024-4,6,Pass,Pass,Pass
task-bring_me-64-1024-4,7,Pass,Pass,Pass
task-bring_me-64-1024-4,8,Pass,Pass,Pass
task-bring_me-64-1024-4,9,Pass,Pass,Pass
task-bring_me-64-1024-4,10,Pass,Pass,Pass
task-bring_me-64-1024-4,11,Pass,Pass,Pass
task-bring_me-64-1024-4,12,Pass,Pass,Pass
task-bring_me-64-1024-4,13,Fail,Fail,Fail
task-bring_me-64-1024-4,14,Pass,Pass,Pass
task-bring_me-64-2442-2,1,Pass,Pass,Pass
task-bring_me-64-2442-2,2,Pass,Pass,Pass
task-bring_me-64-2442-2,3,Pass,Pass,Pass
task-bring_me-64-2442-2,4,Pass,Pass,Pass
task-bring_me-64-2442-2,5,Pass,Pass,Pass
task-bring_me-64-2442-2,6,Pass,Pass,Pass
task-bring_me-64-2442-2,7,Pass,Pass,Pass
task-bring_me-64-2442-2,8,Pass,Pass,Pass
task-bring_me-64-2442-2,9,Pass,Pass,Pass
task-bring_me-64-2442-2,10,Pass,Pass,Pass
task-bring_me-64-2442-2,11,Pass,Pass,Pass
task-bring_me-64-2442-2,12,Pass,Pass,Pass
task-bring_me-64-2442-2,13,Pass,Pass,Pass
task-bring_me-64-2442-2,14,Pass,Fail,Pass
task-bring_me-64-2442-2,15,Pass,Pass,Pass
task-bring_me-64-2442-2,16,Fail,Pass,Pass
task-bring_me-64-2442-2,17,Pass,Pass,Pass
task-bring_me-64-2442-2,18,Pass,Pass,Pass
task-bring_me-64-2442-2,19,Pass,Pass,Pass
task-bring_me-64-2442-2,20,Pass,Pass,Pass
task-bring_me-64-2442-2,21,Pass,Pass,Pass
task-bring_me-64-2442-2,22,Pass,Pass,Pass
task-bring_me-65-1158-1,1,Pass,Pass,Pass
task-bring_me-65-1158-1,2,Pass,Pass,Pass
task-bring_me-65-1158-1,3,Pass,Pass,Pass
task-bring_me-65-1158-1,4,Pass,Pass,Pass
task-bring_me-65-1158-1,5,Pass,Pass,Pass
task-bring_me-65-1158-1,6,Pass,Pass,Pass
task-bring_me-65-1158-1,7,Pass,Pass,Pass
task-bring_me-65-1158-1,8,Pass,Pass,Pass
task-bring_me-65-1158-1,9,Pass,Pass,Pass
task-bring_me-65-1158-1,10,Pass,Pass,Pass
task-bring_me-65-1158-1,11,Pass,Pass,Pass
task-bring_me-65-1158-1,12,Pass,Pass,Pass
task-bring_me-65-1158-1,13,Pass,Pass,Pass
task-bring_me-65-1158-1,14,Pass,Pass,Pass
task-bring_me-65-1158-1,15,Pass,Pass,Pass
task-bring_me-65-1158-1,16,Pass,Pass,Pass
task-bring_me-65-1158-1,17,Fail,Fail,Fail
task-bring_me-65-1158-1,18,Pass,Pass,Pass
task-bring_me-65-1158-1,19,Pass,Pass,Pass
task-bring_me-65-1158-1,20,Pass,Pass,Pass
task-bring_me-65-1158-1,21,Pass,Pass,Pass
task-bring_me-65-1158-1,22,Pass,Pass,Pass
task-bring_me-65-2403-2,1,Pass,Pass,Pass
task-bring_me-65-2403-2,2,Pass,Pass,Pass
task-bring_me-65-2403-2,3,Pass,Pass,Pass
task-bring_me-65-2403-2,4,Pass,Pass,Pass
task-bring_me-65-2403-2,5,Pass,Pass,Pass
task-bring_me-65-2403-2,6,Pass,Pass,Pass
task-bring_me-65-2403-2,7,Pass,Pass,Pass
task-bring_me-65-2403-2,8,Pass,Pass,Pass
task-bring_me-65-2403-2,9,Pass,Pass,Pass
task-bring_me-65-2403-2,10,Pass,Pass,Pass
task-bring_me-65-2403-2,11,Pass,Pass,Pass
task-bring_me-65-2403-2,12,Pass,Pass,Pass
task-bring_me-65-2403-2,13,Pass,Pass,Pass
task-bring_me-65-2403-2,14,Pass,Pass,Pass
task-bring_me-65-2403-2,15,Pass,Pass,Pass
task-bring_me-65-2403-2,16,Pass,Pass,Pass
task-bring_me-65-2403-2,17,Pass,Pass,Pass
task-bring_me-65-2403-2,18,Pass,Pass,Pass
task-bring_me-65-2403-2,19,Pass,Pass,Pass
task-bring_me-65-2403-2,20,Pass,Pass,Pass
task-bring_me-65-2403-2,21,Pass,Pass,Pass
task-bring_me-65-2403-2,22,Pass,Pass,Pass
task-bring_me-65-2403-2,23,Pass,Pass,Pass
task-bring_me-65-2403-2,24,Pass,Pass,Pass
task-bring_me-66-2626-3,1,Pass,Pass,Pass
task-bring_me-66-2626-3,2,Pass,Pass,Pass
task-bring_me-66-2626-3,3,Pass,Pass,Pass
task-bring_me-66-2626-3,4,Pass,Pass,Pass
task-bring_me-66-2626-3,5,Pass,Pass,Pass
task-bring_me-66-2626-3,6,Pass,Pass,Pass
task-bring_me-66-3123-4,1,Pass,Pass,Pass
task-bring_me-66-3123-4,2,Pass,Pass,Pass
task-bring_me-66-3123-4,3,Pass,Pass,Pass
task-bring_me-66-4453-1,1,Pass,Pass,Pass
task-bring_me-66-4453-1,2,Pass,Pass,Pass
task-bring_me-66-4453-1,3,Pass,Pass,Pass
task-bring_me-66-4453-1,4,Pass,Pass,Pass
task-bring_me-66-4453-1,5,Fail,Fail,Fail
task-bring_me-66-4453-1,6,Pass,Pass,Pass
task-bring_me-36-349-3,1,Pass,Pass,Pass
task-bring_me-36-349-3,2,Pass,Pass,Pass
task-bring_me-36-349-3,3,Pass,Pass,Pass
task-bring_me-36-349-3,4,Pass,Pass,Pass
task-bring_me-36-349-3,5,Pass,Pass,Pass
task-bring_me-36-349-3,6,Pass,Pass,Pass
task-bring_me-32-4640-4,1,Pass,Pass,Pass
task-bring_me-32-4640-4,2,Pass,Pass,Pass
task-bring_me-32-4640-4,3,Pass,Pass,Pass
task-bring_me-32-4640-4,4,Pass,Pass,Pass
task-bring_me-32-4640-4,5,Pass,Pass,Pass
task-bring_me-32-4640-4,6,Pass,Pass,Pass
task-bring_me-32-4640-4,7,Pass,Pass,Pass
task-bring_me-32-4640-4,8,Pass,Pass,Pass
task-bring_me-32-4640-4,9,Pass,Pass,Pass
task-bring_me-32-4640-4,10,Pass,Pass,Pass
task-bring_me-32-4640-4,11,Pass,Pass,Pass
task-bring_me-32-4640-4,12,Pass,Pass,Pass
task-bring_me-32-4640-4,13,Pass,Pass,Pass
task-bring_me-32-4640-4,14,Pass,Pass,Pass
task-bring_me-32-4640-4,15,Pass,Pass,Pass
task-bring_me-32-4640-4,16,Pass,Pass,Pass
task-bring_me-32-4640-4,17,Pass,Pass,Pass
task-bring_me-32-4640-4,18,Pass,Pass,Pass
